,precision,recall,f1-score,support
Cut,0.38095238095238093,0.5853658536585366,0.46153846153846156,41.0
Hole,0.6301369863013698,0.7419354838709677,0.6814814814814815,62.0
Stain,0.5434782608695652,0.49019607843137253,0.5154639175257731,51.0
ThreadError,0.9354838709677419,0.6444444444444445,0.7631578947368421,90.0
accuracy,0.6270491803278688,0.6270491803278688,0.6270491803278688,0.6270491803278688
macro avg,0.6225128747727644,0.6154854651013303,0.6054104388206396,244.0
weighted avg,0.6827806576277752,0.6270491803278688,0.6399499962912254,244.0
