epoch,lr,train_loss,train_ce,train_kd,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.0003,4.74767557246573,1.3069710347476422,8.18838010058307,1.073620918625129,0.5748502994011976,0.6455293833997344,0.5855033294862487,0.5657149418639217
2,0.0002999259840548597,3.670072229116555,1.1236592565206873,6.216485199512252,1.277492961483801,0.6437125748502994,0.6746209425466394,0.6504999270915419,0.6366172851162937
3,0.0002997040092642407,3.430188223819605,1.1917184577292244,5.6686580037110605,1.3036303790565023,0.6646706586826348,0.6993639700886883,0.6691449078871439,0.6565598460895836
4,0.000299334294690462,3.1775769451320572,1.113285907162916,5.241867983901261,1.3714356842021385,0.6422155688622755,0.6810048912539626,0.6475615481826662,0.6333471929114203
5,0.0002988172051971717,3.003682845390883,1.0616157401928166,4.945749962889908,1.279953300372926,0.6766467065868264,0.6812127742360301,0.6757652285602597,0.6673081567786376
6,0.00029815325108927063,2.9467691935148816,1.0943023570431958,4.799236057588718,1.1261889324662928,0.6766467065868264,0.7028800653184826,0.6853070583660645,0.6739680804168465
7,0.00029734308760930326,2.856600790215819,1.0502747709319096,4.662926817900383,1.1279805094940576,0.7170658682634731,0.7125047735605352,0.7100506894761554,0.7072355584252085
8,0.00029638751429081204,2.8508228223595844,1.0452004741102257,4.6564451912105485,1.1021577904145874,0.7245508982035929,0.7278718224327209,0.7218398837187657,0.7175331487523606
9,0.0002952874741692946,2.868411607390282,1.0941886849851417,4.642634546996763,1.1428346520813997,0.7260479041916168,0.7297566913271576,0.7250852149920473,0.7169480884842819
10,0.00029404405285154137,2.756378321839659,1.0326567482228246,4.4800998940563845,1.016309508038852,0.7230538922155688,0.7304361799528997,0.7251855287569573,0.7196061870730206
11,0.0002926584774442729,2.638240062150379,0.9888626510064874,4.28761747379431,0.9314366582624927,0.7529940119760479,0.7494176115493902,0.7505676905909825,0.7476821608409717
12,0.00029113211534313374,2.6373846250892488,0.9650189790549695,4.309750252922109,0.8501746207475662,0.7574850299401198,0.756684521775308,0.7561783454640598,0.7488472940955202
13,0.0002894664728832376,2.4949903552164168,0.9290884475179967,4.060892261914759,0.9542564719380019,0.7410179640718563,0.7456073517544061,0.741587992752589,0.7312735561896552
14,0.0002876631938525971,2.5613027355014877,0.9692251796290379,4.15338028357333,0.9488207833216844,0.7485029940119761,0.749054592125475,0.7456570344769102,0.7390627501930718
15,0.0002857240578699029,2.514296348462969,0.9528859697732349,4.075706729952921,0.9073535257470822,0.7694610778443114,0.7688968955715669,0.7709856137651169,0.764811883844142
16,0.00028365097862825513,2.3560273159270317,0.9008178021883805,3.811236819164865,0.8451110971087735,0.7769461077844312,0.778577934446057,0.7760292243987896,0.7712370363445294
17,0.0002814460020065795,2.365862483946269,0.9145731397423168,3.817151840901215,0.7826788841473485,0.7634730538922155,0.7585430836550686,0.7582283787640931,0.7565094306683877
18,0.0002791113040505915,2.429500439823074,0.943850324357916,3.915150543987351,0.8109408599620094,0.7739520958083832,0.7782579826343637,0.7748793003063189,0.7686387345776962
19,0.00027664918882530225,2.1691848171637362,0.853042374521294,3.4853272638064903,0.8682582228260483,0.7425149700598802,0.7478232618583496,0.7372586006126379,0.7342641981653899
20,0.00027406208614118424,2.3280860377638133,0.9071242274753999,3.7490478282006796,0.9096201872648281,0.7574850299401198,0.7639329321472179,0.757271713793453,0.7502407517128002
21,0.0002713525491562421,2.2751782492503225,0.8586330776846649,3.691723422716128,0.8099254619575547,0.7799401197604791,0.7770901015641751,0.778836587842799,0.7723204196605251
