Confidence,Class,TP,FP,FN,Precision,Recall,F1-score
0.4,Cut,33,7,8,0.825,0.8048780487804879,0.8148148148148149
0.4,Hole,33,9,29,0.7857142857142857,0.532258064516129,0.6346153846153847
0.4,Stain,30,13,21,0.6976744186046512,0.5882352941176471,0.6382978723404256
0.4,ThreadError,26,10,64,0.7222222222222222,0.28888888888888886,0.4126984126984127
