epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2103.33,1.91405,2.05972,1.78487,0.46251,0.45702,0.39916,0.17932,2.11464,2.20566,1.76495,0.0007294,0.0007294,0.0007294
43,2153.2,1.91502,2.09002,1.82497,0.46135,0.48145,0.41718,0.20231,1.97337,2.04939,1.75242,0.0007228,0.0007228,0.0007228
44,2203.13,1.8846,2.0629,1.8358,0.41791,0.46696,0.38471,0.18565,2.06556,2.27518,1.79767,0.0007162,0.0007162,0.0007162
45,2253.02,1.90244,2.06095,1.86361,0.50634,0.44214,0.41906,0.20449,1.98632,2.13826,1.74812,0.0007096,0.0007096,0.0007096
46,2302.99,1.86634,2.05657,1.8319,0.45213,0.48401,0.42157,0.20411,2.0328,2.21138,1.73392,0.000703,0.000703,0.000703
47,2352.85,1.86784,2.04843,1.83708,0.46079,0.49011,0.42084,0.20895,2.00396,2.02669,1.79976,0.0006964,0.0006964,0.0006964
48,2402.92,1.86074,2.02926,1.82429,0.44221,0.5118,0.42834,0.20676,2.0465,2.08456,1.81926,0.0006898,0.0006898,0.0006898
49,2452.64,1.87108,2.03151,1.8506,0.4208,0.52578,0.42835,0.21823,1.94788,1.91953,1.74795,0.0006832,0.0006832,0.0006832
50,2502.58,1.84867,2.0298,1.81935,0.5074,0.48782,0.4496,0.20982,1.98832,2.10331,1.76284,0.0006766,0.0006766,0.0006766
51,2552.58,1.84923,2.02638,1.84861,0.50617,0.49187,0.45856,0.23169,1.95172,1.92624,1.76691,0.00067,0.00067,0.00067
52,2602.61,1.85248,1.97888,1.82903,0.46008,0.46777,0.42814,0.20547,1.96999,2.05282,1.76419,0.0006634,0.0006634,0.0006634
53,2652.69,1.85934,1.97689,1.85704,0.47554,0.5127,0.43898,0.22594,1.9464,1.95032,1.75952,0.0006568,0.0006568,0.0006568
54,2702.91,1.84607,1.97546,1.83958,0.42246,0.51793,0.42354,0.21051,1.93558,2.13551,1.75399,0.0006502,0.0006502,0.0006502
55,2752.95,1.79255,1.96635,1.79817,0.48774,0.53406,0.46128,0.23094,1.8816,1.9371,1.73502,0.0006436,0.0006436,0.0006436
56,2802.8,1.8251,2.00721,1.8157,0.46089,0.50105,0.45197,0.23348,1.91382,1.94456,1.73708,0.000637,0.000637,0.000637
57,2852.93,1.80157,1.983,1.80437,0.47971,0.46759,0.4267,0.22184,1.91067,1.9578,1.7527,0.0006304,0.0006304,0.0006304
58,2902.96,1.77824,1.94199,1.80567,0.49871,0.50567,0.47023,0.24273,1.91865,1.93254,1.74747,0.0006238,0.0006238,0.0006238
59,2953.33,1.82349,1.93742,1.82624,0.43284,0.5255,0.44584,0.22435,1.92011,1.83913,1.76273,0.0006172,0.0006172,0.0006172
60,3003.25,1.79423,1.96276,1.8098,0.50218,0.5176,0.4612,0.24073,1.85217,1.90633,1.69874,0.0006106,0.0006106,0.0006106
61,3052.99,1.76764,1.91148,1.75656,0.49928,0.53174,0.47003,0.23584,1.90043,1.97539,1.74104,0.000604,0.000604,0.000604
62,3102.85,1.79369,1.93509,1.79728,0.50359,0.54465,0.49013,0.25022,1.89302,1.86701,1.70783,0.0005974,0.0005974,0.0005974
63,3153,1.78713,1.91939,1.80838,0.47708,0.52945,0.49136,0.25169,1.90833,1.83829,1.72589,0.0005908,0.0005908,0.0005908
64,3202.9,1.78333,1.90186,1.79653,0.51445,0.49722,0.47491,0.24764,1.90573,1.93175,1.72053,0.0005842,0.0005842,0.0005842
65,3253.32,1.75783,1.91347,1.77525,0.509,0.52394,0.48085,0.25298,1.88417,1.79041,1.70029,0.0005776,0.0005776,0.0005776
66,3303.07,1.76575,1.87325,1.76685,0.54381,0.54046,0.49807,0.24644,1.9242,1.80381,1.7472,0.000571,0.000571,0.000571
67,3353.08,1.75478,1.91727,1.78119,0.5165,0.55155,0.50434,0.26023,1.85074,1.77457,1.69638,0.0005644,0.0005644,0.0005644
68,3403.11,1.74966,1.8845,1.77522,0.51017,0.53678,0.47865,0.24116,1.8622,1.88044,1.67444,0.0005578,0.0005578,0.0005578
69,3453.13,1.74942,1.87095,1.77029,0.50643,0.54429,0.51261,0.26937,1.81631,1.7604,1.65112,0.0005512,0.0005512,0.0005512
70,3503.36,1.73937,1.8621,1.77156,0.53109,0.56626,0.50171,0.26175,1.84767,1.73999,1.67919,0.0005446,0.0005446,0.0005446
71,3553.25,1.76019,1.89012,1.78879,0.49338,0.52527,0.4836,0.26312,1.78247,1.77453,1.6413,0.000538,0.000538,0.000538
72,3603.07,1.73541,1.86987,1.75139,0.51623,0.52259,0.5043,0.25905,1.86545,1.76699,1.69309,0.0005314,0.0005314,0.0005314
