Class,TP,FP,FN,Precision,Recall,F1-score
Cut,35,8,6,0.813953488372093,0.8536585365853658,0.8333333333333333
Hole,41,11,21,0.7884615384615384,0.6612903225806451,0.719298245614035
Stain,33,9,18,0.7857142857142857,0.6470588235294118,0.7096774193548386
ThreadError,51,40,39,0.5604395604395604,0.5666666666666667,0.56353591160221
