epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_f1,learning_rate
1,1.2652131464884524,1.2548823927690882,0.41377870563674324,0.3997005988023952,0.3605461261570371,0.0002999262307746768
2,1.0964820113958547,1.2689761080427797,0.5244258872651357,0.5479041916167665,0.5333309014023606,0.00029970499590002654
3,1.069844622079415,0.9322755748997191,0.5457202505219206,0.6497005988023952,0.6369295702015871,0.0002993365137081604
4,0.9840155232176652,0.9375978729682054,0.5945720250521921,0.592814371257485,0.5782783201223299,0.0002988211478465144
5,0.9107750328697093,0.7956454796705418,0.5991649269311065,0.687125748502994,0.6777105797031996,0.000298159406918973
6,0.8974791047717435,0.7558118624244622,0.6204592901878915,0.7125748502994012,0.7068993241177153,0.0002973519439839389
7,0.8780112470117143,0.9068286003109938,0.6342379958246347,0.6497005988023952,0.6325787499750634,0.00029639955590984266
8,0.8546878375688525,0.7401948287458477,0.6450939457202505,0.7260479041916168,0.7221023306347711,0.00029530318258873023
9,0.830138379770928,0.712947311560194,0.6668058455114823,0.7320359281437125,0.7238567142657732,0.0002940639060087029
10,0.869830398743735,0.7232852753051027,0.6384133611691023,0.7290419161676647,0.7247754647715707,0.00029268294918612537
11,0.7808303634159749,0.7320675049534815,0.6901878914405011,0.7335329341317365,0.7259420906138003,0.00029116167495865663
12,0.7895991199947349,0.7672065632964322,0.6839248434237996,0.7290419161676647,0.7233469778946063,0.0002895015846402935
13,0.8120238668361138,0.6754251068937565,0.6697286012526096,0.7455089820359282,0.7406937719049196,0.0002877043165397551
14,0.7903824808577655,0.6866304088316991,0.6835073068893528,0.7440119760479041,0.7396257415173317,0.0002857716443436699
15,0.7213401497281419,0.7057045575922835,0.7039665970772443,0.7335329341317365,0.7244452551564774,0.00028370547536616097
16,0.783104581623834,0.726170128646368,0.6747390396659708,0.7170658682634731,0.703346044833403,0.00028150784866655756
17,0.7512195269349722,0.658974756023841,0.6918580375782881,0.7514970059880239,0.7452834283774097,0.00027918093303708956
18,0.7448823830777768,0.6399024347077586,0.6897703549060543,0.7514970059880239,0.7436731411228179,0.00027672702486255125
19,0.7448810612483413,0.6540770729680261,0.6997912317327766,0.7589820359281437,0.7525039314005282,0.000274148545854047
20,0.7427229382051058,0.5969831071749419,0.7098121085594989,0.7694610778443114,0.7655397610108831,0.00027144804065905466
21,0.6656261615315161,0.6743291930301104,0.7306889352818372,0.7350299401197605,0.7239874099495215,0.00026862817435016574
22,0.6902026987026031,0.6019984090221142,0.7240083507306889,0.7724550898203593,0.769028591962141,0.0002656917297949805
23,0.6952953275658641,0.6268374719796423,0.7219206680584551,0.7634730538922155,0.7585711692686654,0.0002626416049097537
24,0.694776420702765,0.5887055854329806,0.7135699373695198,0.7844311377245509,0.7807880513787511,0.00025948080979950103
25,0.671227032207497,0.6219835696284642,0.732776617954071,0.7649700598802395,0.7609652696497515,0.00025621246378738883
26,0.6555633847549216,0.602806089970166,0.7356993736951983,0.7844311377245509,0.7807915338233156,0.00025283979233633894
27,0.6384591572966606,0.6142275290128714,0.7453027139874739,0.7589820359281437,0.741230632770782,0.0002493661238658859
28,0.6624395631051512,0.5243712185831841,0.7348643006263048,0.8038922155688623,0.7999125726802944,0.0002457948864674291
29,0.6041317796408507,0.565024811395271,0.7649269311064718,0.7829341317365269,0.7786005328237422,0.00024212960452111996
30,0.6438688063920166,0.6189242533804057,0.7490605427974948,0.7784431137724551,0.7734717529369193,0.00023837389521772471
31,0.5887159323518112,0.5071489932294377,0.7653444676409186,0.8008982035928144,0.7963027223171728,0.0002345314649888935
32,0.5940535943480773,0.5068519657734268,0.7594989561586639,0.7994011976047904,0.7946135262159814,0.00023060610584935994
33,0.6030080325917063,0.49565789612110506,0.7665970772442589,0.8068862275449101,0.8045987982829487,0.00022660169165468046
34,0.5816327561167436,0.5058718629092157,0.7665970772442589,0.812874251497006,0.8087955418336819,0.00022252217427820638
35,0.5444413699287463,0.5214246015348835,0.7849686847599165,0.8098802395209581,0.8047957195723143,0.0002183715797110622
36,0.5508198637554192,0.5325576691570396,0.7720250521920669,0.8083832335329342,0.8025663298275869,0.00021415400408897832
37,0.5738545036515015,0.48029592209411953,0.7707724425887265,0.8293413173652695,0.8239401789515575,0.00020987360964989967
38,0.5355867668581905,0.48840924191796137,0.7878914405010439,0.8263473053892215,0.8222759118569276,0.00020553462062635936
39,0.5232905916480779,0.4406929058942966,0.7979123173277661,0.8338323353293413,0.8298315418627984,0.00020114131907667107
40,0.5476444868802527,0.4500429030663953,0.7816283924843423,0.8353293413173652,0.8310296275124499,0.00019669804065905463
41,0.5171954939410184,0.45232062813586105,0.7991649269311065,0.8218562874251497,0.8190099108746601,0.00019220917035286478
42,0.5022040054544278,0.362380316001391,0.8041753653444677,0.8562874251497006,0.8554940272500392,0.00018767913813114574
43,0.4652751788590298,0.3934530963351627,0.8150313152400835,0.8562874251497006,0.8522479037144202,0.0001831124145887831
44,0.48037420165314804,0.38861377190374685,0.81419624217119,0.8353293413173652,0.8307444656463093,0.00017851350653056583
45,0.44332499303748063,0.40511060991285447,0.8258872651356993,0.8473053892215568,0.8442240698012428,0.0001738869525235145
46,0.476080524025481,0.39841744413008234,0.8208768267223382,0.8473053892215568,0.8450831262638699,0.0001692373184178635
47,0.4624067361519083,0.3713684956470649,0.8254697286012526,0.8577844311377245,0.8548812617975476,0.00016456919284111787
48,0.4588834096220689,0.33708292299401976,0.8162839248434238,0.8622754491017964,0.8596774339325985,0.00015988718266963235
49,0.4224128438684786,0.3468174499175149,0.8334029227557411,0.8862275449101796,0.8858043719225598,0.00015519590848218017
50,0.4306331915497033,0.3238235091020961,0.8359081419624217,0.8847305389221557,0.8844599950532143,0.0001505
