,precision,recall,f1-score,support
Cut,0.7407407407407407,0.975609756097561,0.8421052631578947,41.0
Hole,0.9482758620689655,0.8870967741935484,0.9166666666666666,62.0
Stain,0.8888888888888888,0.9411764705882353,0.9142857142857143,51.0
ThreadError,0.9743589743589743,0.8444444444444444,0.9047619047619048,90.0
accuracy,0.8975409836065574,0.8975409836065574,0.8975409836065574,0.8975409836065574
macro avg,0.8880661165143924,0.9120818613309473,0.894454887218045,244.0
weighted avg,0.9106111264110133,0.8975409836065574,0.899249147458811,244.0
