Class,TP,FP,FN,Precision,Recall,F1-score
Cut,28,5,13,0.8484848484848485,0.6829268292682927,0.7567567567567567
Hole,28,4,34,0.875,0.45161290322580644,0.5957446808510638
Stain,22,8,29,0.7333333333333333,0.43137254901960786,0.54320987654321
ThreadError,14,2,76,0.875,0.15555555555555556,0.26415094339622647
