,precision,recall,f1-score,support
Cut,0.7692307692307693,0.975609756097561,0.8602150537634409,41.0
Hole,1.0,0.8870967741935484,0.9401709401709402,62.0
Stain,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
ThreadError,0.9647058823529412,0.9111111111111111,0.9371428571428572,90.0
accuracy,0.9262295081967213,0.9262295081967213,0.9262295081967213,0.9262295081967213
macro avg,0.9190610859728507,0.9336504887819277,0.9222462904392125,244.0
weighted avg,0.936146242860322,0.9262295081967213,0.9279776413213799,244.0
