Class,TP,FP,FN,Precision,Recall,F1-score
Cut,38,5,3,0.8837209302325582,0.926829268292683,0.9047619047619047
Hole,53,10,9,0.8412698412698413,0.8548387096774194,0.848
Stain,48,11,3,0.8135593220338984,0.9411764705882353,0.8727272727272728
ThreadError,70,39,20,0.6422018348623854,0.7777777777777778,0.7035175879396985
