,precision,recall,f1-score,support
Cut,0.803921568627451,1.0,0.8913043478260869,41.0
Hole,1.0,0.9193548387096774,0.957983193277311,62.0
Stain,0.9423076923076923,0.9607843137254902,0.9514563106796117,51.0
ThreadError,0.9880952380952381,0.9222222222222223,0.9540229885057471,90.0
accuracy,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.9426229508196722
macro avg,0.9335811247575954,0.9505903436643475,0.9386917100721892,244.0
weighted avg,0.9506026559425789,0.9426229508196722,0.9439540043206569,244.0
