epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_f1,learning_rate
1,0.9786575564760753,0.8310171479950408,0.5908141962421712,0.6826347305389222,0.6642779276180417,0.0001
2,0.807108430747946,0.6537250016710001,0.6872651356993736,0.7664670658682635,0.7592867275133414,0.0001
3,0.7447481393814087,0.6727474733830212,0.7085594989561587,0.7649700598802395,0.7594236338674604,0.0001
4,0.6747338929106647,0.6678007750989434,0.727348643006263,0.7410179640718563,0.7330963551185739,0.0001
5,0.5980994289005972,0.6273600461775671,0.7670146137787056,0.7964071856287425,0.792956018360847,0.0001
6,0.5718826892231601,0.6450812497181807,0.7716075156576201,0.7739520958083832,0.7727995337520555,0.0001
7,0.5327872239099912,0.5858414985328734,0.7974947807933194,0.7949101796407185,0.7882818926237767,0.0001
8,0.5217680962822383,0.49307668905058305,0.8037578288100209,0.8308383233532934,0.8261455126091583,0.0001
9,0.4445143876531179,0.653829280041649,0.8354906054279749,0.7904191616766467,0.7728533021195909,0.0001
10,0.42002540892748347,0.38249876872151195,0.8384133611691023,0.8772455089820359,0.8750933558760345,0.0001
11,0.37302811683402526,0.5094272017835857,0.8559498956158664,0.8667664670658682,0.8637205730094037,0.0001
12,0.34441130666493874,0.4668534596166211,0.8693110647181629,0.8667664670658682,0.8641613077674629,0.0001
13,0.3461858813567301,0.3588855744389717,0.881419624217119,0.8877245508982036,0.8847245883574324,0.0001
14,0.32266973486026296,0.31697381470731634,0.8881002087682672,0.9146706586826348,0.9142986848190525,0.0001
15,0.28559934432173073,0.3146117235015252,0.8997912317327766,0.9041916167664671,0.9031728896725655,0.0001
16,0.2725450923646915,0.4403873933646493,0.9002087682672234,0.8772455089820359,0.8774588823136711,0.0001
17,0.2742181775216519,0.37563110905850006,0.9068893528183716,0.907185628742515,0.9061346553481076,0.0001
18,0.2506037595127719,0.45999462251177803,0.920250521920668,0.9011976047904192,0.8972646603710042,0.0001
19,0.2375466070415954,0.30439644478662997,0.9215031315240083,0.9236526946107785,0.9232393498411833,0.0001
20,0.2351643106758221,0.35481475213330665,0.9210855949895616,0.9176646706586826,0.91692156948555,0.0001
21,0.22843693502243445,0.31058316102006034,0.9298538622129436,0.9131736526946108,0.9140926911741919,0.0001
22,0.19198093607181796,0.26510707248827653,0.9377870563674322,0.9221556886227545,0.9215883735037259,0.0001
23,0.18721867667798864,0.3293240675312316,0.939874739039666,0.9251497005988024,0.9238149377262621,0.0001
24,0.20439655054095718,0.4241095763480156,0.9340292275574112,0.9101796407185628,0.9089641545945004,0.0001
25,0.17976598734568827,0.3008386505214207,0.9440501043841336,0.9326347305389222,0.9307987521892458,0.0001
26,0.19722033432939542,0.411190258171744,0.9423799582463466,0.907185628742515,0.906829242004989,0.0001
27,0.14066894815491984,0.4413013711660922,0.9519832985386222,0.9221556886227545,0.9199115630722794,0.0001
28,0.17701343484650636,0.2624567499060831,0.9411273486430063,0.9341317365269461,0.9306165323211482,0.0001
29,0.13957478769885723,0.426561352913965,0.9607515657620042,0.905688622754491,0.904658365668056,0.0001
30,0.15610802885386044,0.3808542009956095,0.9524008350730689,0.9206586826347305,0.9186808095949859,0.0001
31,0.1227816611092872,0.4555790224482032,0.9665970772442589,0.938622754491018,0.9371652426811619,0.0001
32,0.14467891348304232,0.2728982897932658,0.9607515657620042,0.9505988023952096,0.9492734298652499,0.0001
33,0.1625833950859022,0.3064665612346398,0.9599164926931106,0.9251497005988024,0.9240488002026463,0.0001
34,0.16662795240670006,0.3066580315194759,0.9603340292275574,0.938622754491018,0.9367219221840614,0.0001
35,0.1183650672280216,0.3319392889566597,0.9636743215031315,0.938622754491018,0.937068409513648,0.0001
36,0.13689415786796422,0.25650980336928647,0.9615866388308977,0.9491017964071856,0.94851568519027,0.0001
37,0.1480417754835525,0.35450664144787924,0.9640918580375782,0.9356287425149701,0.9338795587535116,0.0001
38,0.1228434685501027,0.30337051163890405,0.9653444676409186,0.9476047904191617,0.9463675800533807,5e-05
39,0.07313736291458375,0.23976851812449512,0.9832985386221295,0.9565868263473054,0.954757506712431,5e-05
40,0.044251293678124415,0.27820910415249805,0.9891440501043841,0.968562874251497,0.9675814355962298,5e-05
41,0.059257846684943466,0.2090410911394396,0.9866388308977035,0.9715568862275449,0.9706262315075107,5e-05
42,0.03447103027510953,0.2786732995938371,0.9899791231732776,0.9715568862275449,0.9701541616174211,5e-05
43,0.02525623148306718,0.34202465165161094,0.9912317327766179,0.968562874251497,0.9669464908873147,5e-05
44,0.03278424018111253,0.3369128934280601,0.992901878914405,0.9715568862275449,0.9698714584821736,5e-05
45,0.04190782828719308,0.2950656260558999,0.9920668058455114,0.9640718562874252,0.9634120744629954,5e-05
46,0.045524857151234575,0.3511205590413714,0.9916492693110647,0.9610778443113772,0.9602579539061751,5e-05
47,0.03475823243127237,0.2923406314350174,0.992901878914405,0.968562874251497,0.9679282232104813,2.5e-05
48,0.03708234390784329,0.26507950025404287,0.9933194154488518,0.9745508982035929,0.9737569123680565,2.5e-05
49,0.020767204995444027,0.24515534946304596,0.9933194154488518,0.9745508982035929,0.9732860442904615,2.5e-05
50,0.013656531146772032,0.26216923351773247,0.9949895615866389,0.9790419161676647,0.9784533523238605,2.5e-05
51,0.028711592530858913,0.275167192706091,0.992901878914405,0.9715568862275449,0.9705592627878222,2.5e-05
52,0.020813491399209638,0.2535389731387178,0.9949895615866389,0.9715568862275449,0.9706388101519754,2.5e-05
53,0.01676756887700815,0.30766064089215445,0.9949895615866389,0.9715568862275449,0.9705574502990678,2.5e-05
54,0.014757106000545828,0.2613301921390488,0.9962421711899792,0.9730538922155688,0.972251094371104,2.5e-05
55,0.010321168606179243,0.23505868722578724,0.9979123173277662,0.9745508982035929,0.973609060499611,2.5e-05
56,0.009234290680463332,0.26683249391481556,0.9962421711899792,0.9745508982035929,0.973903071804211,1.25e-05
57,0.017078381738701295,0.24485124674385894,0.9962421711899792,0.9745508982035929,0.9738688129944977,1.25e-05
58,0.020185102600145447,0.22170417769226486,0.9974947807933194,0.9730538922155688,0.9724844503996447,1.25e-05
59,0.009476473585299818,0.2362667582706063,0.9979123173277662,0.9730538922155688,0.9722212321699399,1.25e-05
60,0.011443909374308735,0.25041690004799894,0.9979123173277662,0.9730538922155688,0.9724328412229244,1.25e-05
61,0.02136355222889154,0.2314848623232927,0.9974947807933194,0.9760479041916168,0.9752386773620939,1.25e-05
62,0.004810905257446034,0.20145932750073736,0.9987473903966597,0.9775449101796407,0.9768889289722623,6.25e-06
63,0.01154271202445739,0.20640694559691194,0.9987473903966597,0.9760479041916168,0.9752650737946678,6.25e-06
64,0.006673861645445974,0.2139977725323089,0.998329853862213,0.9775449101796407,0.9768889289722623,6.25e-06
65,0.010698863260432663,0.20971974730491638,0.9987473903966597,0.9775449101796407,0.9768746474584339,6.25e-06
