epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_f1
1,0.9178345225254695,0.7825244925029221,0.6137787056367432,0.6721556886227545,0.6496695943640332
2,0.7487799376249313,0.5804688755777621,0.6839248434237996,0.7874251497005988,0.7771931306353013
3,0.6991227515538534,0.592700428063316,0.718580375782881,0.7649700598802395,0.7570493883608717
4,0.6396266902486484,0.4825102046486877,0.734446764091858,0.812874251497006,0.8045085724395264
5,0.60854988788565,0.5444621133307616,0.7498956158663883,0.7844311377245509,0.7840507642060144
6,0.5904650205373764,0.5623718721880799,0.7544885177453027,0.7934131736526946,0.7880193971470703
7,0.5404544892907143,0.4668980601154977,0.7745302713987474,0.8323353293413174,0.8271230128776038
8,0.5159771701196829,0.40118246803259744,0.7845511482254697,0.8532934131736527,0.8492053919329181
9,0.4925903961062431,0.44815805381430046,0.7958246346555323,0.8338323353293413,0.8324602977601233
10,0.4777245200673739,0.3608327797569689,0.8104384133611691,0.8667664670658682,0.8628240011762114
11,0.4006535632411639,0.34075492101588417,0.8292275574112735,0.8817365269461078,0.8798216977756144
12,0.4163738850255807,0.3696550739862557,0.8288100208768268,0.8652694610778443,0.8620507693952209
13,0.38754681597153345,0.26591813356416033,0.838830897703549,0.907185628742515,0.9050432214742632
14,0.36696837621430556,0.25824535719030317,0.8488517745302714,0.9011976047904192,0.8978336858580642
15,0.3277235816170772,0.29295961391956854,0.8680584551148226,0.8877245508982036,0.8853762671450871
16,0.3511418231328328,0.3637613062192464,0.8509394572025052,0.8772455089820359,0.8764742010393215
17,0.31163197589417296,0.2880035176252325,0.8772442588726513,0.8892215568862275,0.884783360092766
18,0.3191175535817941,0.2608171033429071,0.8697286012526096,0.8937125748502994,0.889102225036033
19,0.2780628439287345,0.2365244088938371,0.8881002087682672,0.9176646706586826,0.9159754406190668
20,0.2825313544459641,0.20637391109318873,0.8910229645093946,0.9401197604790419,0.9399248396450652
21,0.25795219651112955,0.16128587738300362,0.8968684759916493,0.9476047904191617,0.9470464108553089
22,0.22325943301121393,0.226557138603225,0.909812108559499,0.9206586826347305,0.918703653037706
23,0.22975204162299634,0.25586982339709285,0.9056367432150313,0.9116766467065869,0.9108328262521695
24,0.23309679695715507,0.18971592694565298,0.9068893528183716,0.9416167664670658,0.9407770391894666
25,0.2300620315844814,0.13905164261814207,0.9073068893528183,0.9431137724550899,0.942915544059598
26,0.2364756574605902,0.13119396629987196,0.9077244258872651,0.9431137724550899,0.9420946742282124
27,0.18081497367161015,0.1573725418843207,0.9277661795407098,0.9401197604790419,0.9388365907701588
28,0.11644229559305434,0.11226482277907919,0.955741127348643,0.968562874251497,0.9693930155434712
29,0.10944588201353327,0.0889269751725286,0.9590814196242171,0.9745508982035929,0.9739753057016959
30,0.09521839825436473,0.10159986861773566,0.9657620041753654,0.9625748502994012,0.962616010065843
31,0.0940338106895797,0.0722158036688121,0.9636743215031315,0.9805389221556886,0.9803811282981291
32,0.0932902299236351,0.07333925435211443,0.9653444676409186,0.9790419161676647,0.9791519194774521
33,0.09687300986532743,0.09234333984689631,0.9665970772442589,0.9745508982035929,0.9741118898118111
34,0.08939275935602685,0.08746673264665462,0.9686847599164927,0.9715568862275449,0.9712914747638168
35,0.07362591224256904,0.05824721939487582,0.9741127348643006,0.9820359281437125,0.9818362706322376
36,0.07692653655307367,0.0652263554816489,0.9703549060542798,0.9820359281437125,0.981755476145419
37,0.07387579105018327,0.09152711710304998,0.9741127348643006,0.9715568862275449,0.9712091676262385
38,0.1006156508938875,0.13787205496780752,0.962839248434238,0.9610778443113772,0.9610767140594338
39,0.06739696817356161,0.07249059028635245,0.9753653444676409,0.9805389221556886,0.9807925515133153
40,0.06205019356411261,0.07935390629184742,0.9749478079331941,0.9820359281437125,0.9820052630084546
41,0.06608867087440255,0.09697820906582083,0.9720250521920668,0.9715568862275449,0.9712170819006469
42,0.060562989915100236,0.09319700184971139,0.9774530271398747,0.9760479041916168,0.9761440143297303
43,0.05773403451855605,0.07696267261694413,0.9791231732776617,0.9805389221556886,0.9801191211274032
44,0.05762053376878612,0.07843130158220274,0.9791231732776617,0.9790419161676647,0.9785036256288966
45,0.06426556642671737,0.05879522659822777,0.9757828810020877,0.9865269461077845,0.9863981191754212
46,0.06742298936510148,0.13435258657911964,0.9770354906054279,0.9640718562874252,0.9621417794216456
47,0.08235673621762545,0.07258742136209981,0.969937369519833,0.9835329341317365,0.9833966036927957
48,0.053356581989986204,0.08113601539281219,0.9799582463465554,0.9745508982035929,0.9735487721296824
49,0.05695336741240074,0.08983492273996706,0.9795407098121086,0.968562874251497,0.9672985158552007
50,0.03415961971875125,0.06010416933159355,0.9870563674321503,0.9820359281437125,0.9818211286195405
51,0.060366088468193385,0.10036887759633828,0.9770354906054279,0.9715568862275449,0.9715848974161689
52,0.037113586185344806,0.044257571784588175,0.9874739039665971,0.9880239520958084,0.9879487290858529
53,0.032681437666954784,0.07353282539510733,0.9887265135699373,0.9820359281437125,0.9820750463410651
54,0.01916963471759421,0.05769737891136001,0.9949895615866389,0.9850299401197605,0.9851147093990246
55,0.022256190502569856,0.04617718481988829,0.9933194154488518,0.9880239520958084,0.9879237214281051
56,0.020105293251399415,0.03847842156912001,0.9933194154488518,0.9910179640718563,0.9908939256630075
57,0.019228411129394468,0.055057877650272403,0.9924843423799582,0.9865269461077845,0.9861828348370658
58,0.012252575399519022,0.034921601838418394,0.9954070981210856,0.9925149700598802,0.9926498391639278
59,0.014925236721755936,0.04795046800808493,0.9941544885177453,0.9880239520958084,0.9881096920522228
60,0.021572777635301462,0.05651763077115729,0.9916492693110647,0.9850299401197605,0.9848486666464318
61,0.024482818969797034,0.050316133732849266,0.9912317327766179,0.9865269461077845,0.9862984934385362
62,0.023838814131061856,0.04510573052192783,0.9916492693110647,0.9895209580838323,0.989393951697514
63,0.013815207102549418,0.04544399768954983,0.9954070981210856,0.9895209580838323,0.9893875426924641
64,0.0216509334690636,0.061157931297202595,0.9895615866388309,0.9880239520958084,0.9876341597088527
65,0.017509648625127737,0.07481623367814227,0.9924843423799582,0.9835329341317365,0.98309368805899
66,0.012290600501388933,0.04374778221296895,0.9966597077244259,0.9895209580838323,0.9891614993843896
67,0.007538017650076654,0.047275162668527285,0.9974947807933194,0.9910179640718563,0.9910293353894132
68,0.0042270922025394,0.04106573786079285,0.998329853862213,0.9925149700598802,0.9924331792341322
69,0.007096385571057909,0.04524240054819356,0.9974947807933194,0.9925149700598802,0.992549023826461
70,0.012989537831114527,0.050857459171917675,0.9954070981210856,0.9895209580838323,0.9895005289356629
71,0.009222146780472637,0.047781595356874665,0.9958246346555324,0.9895209580838323,0.9893693086060373
72,0.008167053132735115,0.0480018661376865,0.9970772442588727,0.9910179640718563,0.9910247090423066
73,0.009312388191998859,0.044069993024874875,0.9970772442588727,0.9925149700598802,0.9924096136924255
