,precision,recall,f1-score,support
Cut,0.8837209302325582,0.926829268292683,0.9047619047619048,41.0
Hole,0.9838709677419355,0.9838709677419355,0.9838709677419355,62.0
Stain,0.9272727272727272,1.0,0.9622641509433962,51.0
ThreadError,0.9761904761904762,0.9111111111111111,0.9425287356321839,90.0
accuracy,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
macro avg,0.9427637753594242,0.9554528367864323,0.9483564397698551,244.0
weighted avg,0.9523795495392903,0.9508196721311475,0.950812688525606,244.0
